"state","Type","Ownership","Overall_rating","Mortality","Safety_of_care","Readmission","Patient_experience","Effectiveness_of_Care","Timeliness_of_Care","Medical_imaging"
"LA","Acute Care Hospitals","Government - Hospital District or Authority","3","Same as the national average","Not Available","Same as the national average","Not Available","Below the national average","Same as the national average","Below the national average"
"TX","Childrens","Voluntary non-profit - Church","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"KS","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CA","Acute Care Hospitals","Government - Hospital District or Authority","2","Same as the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average","Below the national average","Not Available"
"CO","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"GA","Acute Care Hospitals","Proprietary","4","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Not Available"
"VT","Critical Access Hospitals","Voluntary non-profit - Private","2","Same as the national average","Not Available","Below the national average","Above the national average","Not Available","Not Available","Not Available"
"MI","Critical Access Hospitals","Voluntary non-profit - Other","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"MI","Acute Care Hospitals","Government - Hospital District or Authority","4","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"TN","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"MD","Acute Care Hospitals","Voluntary non-profit - Private","1","Below the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Above the national average"
"MO","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"SD","Acute Care Hospitals","Proprietary","5","Not Available","Not Available","Above the national average","Above the national average","Same as the national average","Not Available","Not Available"
"GA","Acute Care Hospitals","Government - Hospital District or Authority","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"MS","Acute Care Hospitals","Voluntary non-profit - Other","3","Same as the national average","Not Available","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"LA","Acute Care Hospitals","Voluntary non-profit - Private","3","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","Below the national average"
"TX","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MI","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"KS","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available","Not Available"
"MN","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"OR","Acute Care Hospitals","Voluntary non-profit - Private","2","Not Available","Not Available","Below the national average","Below the national average","Same as the national average","Below the national average","Not Available"
"NE","Critical Access Hospitals","Voluntary non-profit - Church","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Above the national average","Not Available"
"MI","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"CA","Acute Care Hospitals","Voluntary non-profit - Other","5","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Not Available","Below the national average"
"NM","Critical Access Hospitals","Government - Local","3","Not Available","Not Available","Same as the national average","Same as the national average","Not Available","Same as the national average","Same as the national average"
"FL","Acute Care Hospitals","Proprietary","2","Same as the national average","Below the national average","Above the national average","Below the national average","Same as the national average","Above the national average","Not Available"
"NE","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Above the national average","Not Available","Same as the national average","Not Available"
"PA","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"TX","Acute Care Hospitals","Proprietary","4","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Not Available"
"OK","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average"
"TX","Acute Care Hospitals","Proprietary","2","Below the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Above the national average","Not Available"
"CO","Critical Access Hospitals","Government - Hospital District or Authority","4","Same as the national average","Not Available","Above the national average","Not Available","Same as the national average","Not Available","Same as the national average"
"IA","Critical Access Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TN","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"OR","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"MN","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Not Available","Not Available"
"IL","Critical Access Hospitals","Government - Local","3","Same as the national average","Not Available","Below the national average","Above the national average","Not Available","Not Available","Not Available"
"TN","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NY","Acute Care Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Below the national average","Same as the national average","Not Available"
"OK","Acute Care Hospitals","Proprietary","4","Same as the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Above the national average","Not Available"
"IN","Critical Access Hospitals","Voluntary non-profit - Private","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"MI","Critical Access Hospitals","Government - Local","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"GA","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"WI","Critical Access Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Same as the national average","Above the national average","Not Available","Not Available","Not Available"
"KY","Critical Access Hospitals","Government - Local","1","Same as the national average","Not Available","Below the national average","Not Available","Below the national average","Same as the national average","Below the national average"
"CO","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"KY","Critical Access Hospitals","Government - Hospital District or Authority","2","Not Available","Not Available","Same as the national average","Not Available","Not Available","Same as the national average","Same as the national average"
"NY","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available","Same as the national average","Same as the national average"
"NJ","Acute Care Hospitals","Proprietary","2","Same as the national average","Not Available","Below the national average","Below the national average","Same as the national average","Below the national average","Not Available"
"WY","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TX","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NY","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"OR","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"MS","Critical Access Hospitals","Proprietary","Not Available","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"MS","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Above the national average","Not Available"
"WA","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"KY","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Same as the national average","Not Available","Above the national average","Not Available","Not Available","Not Available","Not Available"
"KY","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Below the national average","Above the national average","Not Available","Not Available","Not Available"
"CA","Acute Care Hospitals","Proprietary","2","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"NY","Acute Care Hospitals","Government - Local","1","Same as the national average","Below the national average","Below the national average","Below the national average","Below the national average","Below the national average","Not Available"
"GA","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Same as the national average","Not Available"
"WV","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Same as the national average","Not Available","Below the national average","Not Available","Not Available"
"TN","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average","Above the national average","Not Available"
"MT","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Same as the national average","Not Available","Not Available","Not Available"
"IN","Acute Care Hospitals","Proprietary","4","Not Available","Same as the national average","Not Available","Above the national average","Same as the national average","Above the national average","Not Available"
"TN","Acute Care Hospitals","Government - Local","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"IA","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available","Not Available","Not Available"
"CA","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Same as the national average","Not Available","Above the national average","Not Available","Not Available","Not Available","Not Available"
"ND","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"NE","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Same as the national average"
"CO","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NE","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available"
"PR","Acute Care Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ID","Critical Access Hospitals","Government - Hospital District or Authority","4","Not Available","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"UT","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"KS","Critical Access Hospitals","Government - Local","Not Available","Same as the national average","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"SC","Acute Care Hospitals","Proprietary","3","Same as the national average","Not Available","Same as the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"TX","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"IA","Acute Care Hospitals","Voluntary non-profit - Other","4","Same as the national average","Not Available","Same as the national average","Above the national average","Below the national average","Above the national average","Same as the national average"
"WI","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"MN","Critical Access Hospitals","Government - Local","4","Not Available","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"PR","Acute Care Hospitals","Voluntary non-profit - Other","Not Available","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"MN","Acute Care Hospitals","Voluntary non-profit - Church","4","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Not Available"
"IL","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"IL","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"SC","Acute Care Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"ME","Acute Care Hospitals","Voluntary non-profit - Other","4","Same as the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Other","3","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available","Not Available"
"CA","Acute Care Hospitals","Proprietary","4","Above the national average","Same as the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"KY","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Same as the national average","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"MS","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available"
"PA","Acute Care Hospitals","Voluntary non-profit - Other","3","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"ID","Acute Care Hospitals","Voluntary non-profit - Church","3","Same as the national average","Below the national average","Above the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"NJ","Acute Care Hospitals","Voluntary non-profit - Other","3","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"KS","Acute Care Hospitals","Physician","5","Not Available","Not Available","Same as the national average","Above the national average","Same as the national average","Not Available","Not Available"
"OK","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Not Available","Below the national average","Not Available","Below the national average","Below the national average","Not Available"
"GA","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Same as the national average","Below the national average","Same as the national average","Not Available"
"MI","Critical Access Hospitals","Proprietary","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Above the national average","Below the national average"
"TX","Acute Care Hospitals","Voluntary non-profit - Church","4","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average"
"GA","Critical Access Hospitals","Government - Hospital District or Authority","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"PA","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"MO","Critical Access Hospitals","Government - Local","4","Same as the national average","Not Available","Above the national average","Above the national average","Not Available","Not Available","Not Available"
"NV","Acute Care Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","4","Not Available","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"AR","Acute Care Hospitals","Government - Local","3","Below the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"NE","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"GA","Acute Care Hospitals","Government - Hospital District or Authority","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Below the national average","Same as the national average","Not Available"
"MN","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Above the national average","Not Available"
"NE","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"AR","Acute Care Hospitals","Proprietary","2","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average","Above the national average","Not Available"
"CA","Acute Care Hospitals","Government - Local","1","Same as the national average","Below the national average","Below the national average","Below the national average","Below the national average","Below the national average","Not Available"
"FL","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"KS","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"NE","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Not Available"
"MO","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Same as the national average","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"GA","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Above the national average","Not Available"
"MT","Critical Access Hospitals","Government - Hospital District or Authority","4","Not Available","Not Available","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"MO","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Same as the national average","Not Available","Above the national average","Not Available","Not Available","Not Available","Not Available"
"CA","Acute Care Hospitals","Voluntary non-profit - Other","3","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Not Available","Not Available"
"NE","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"OR","Critical Access Hospitals","Proprietary","3","Same as the national average","Not Available","Below the national average","Above the national average","Not Available","Not Available","Not Available"
"RI","Acute Care Hospitals","Voluntary non-profit - Private","1","Same as the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Not Available"
"MP","Acute Care Hospitals","Proprietary","Not Available","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"AL","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"FL","Acute Care Hospitals","Proprietary","3","Same as the national average","Not Available","Same as the national average","Below the national average","Same as the national average","Above the national average","Not Available"
"VA","Acute Care Hospitals","Voluntary non-profit - Other","4","Same as the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"NY","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Not Available","Above the national average","Below the national average","Same as the national average","Same as the national average","Not Available"
"UT","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MT","Critical Access Hospitals","Government - Local","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"MT","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"WI","Critical Access Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Same as the national average"
"UT","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"LA","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Not Available","Not Available"
"MN","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Above the national average","Not Available"
"VA","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"MS","Critical Access Hospitals","Voluntary non-profit - Private","4","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"OR","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Other","3","Same as the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Not Available","Below the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Other","3","Not Available","Same as the national average","Not Available","Below the national average","Same as the national average","Not Available","Not Available"
"MI","Acute Care Hospitals","Voluntary non-profit - Other","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Not Available"
"WA","Critical Access Hospitals","Government - Hospital District or Authority","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"AR","Critical Access Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"OR","Critical Access Hospitals","Voluntary non-profit - Church","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"ND","Critical Access Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"CA","Acute Care Hospitals","Voluntary non-profit - Private","3","Not Available","Same as the national average","Not Available","Below the national average","Same as the national average","Not Available","Not Available"
"IN","Critical Access Hospitals","Government - Local","3","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Above the national average","Below the national average"
"WA","Critical Access Hospitals","Voluntary non-profit - Church","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"AR","Critical Access Hospitals","Voluntary non-profit - Other","3","Same as the national average","Not Available","Below the national average","Above the national average","Not Available","Not Available","Not Available"
"NC","Acute Care Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"LA","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"ND","Critical Access Hospitals","Voluntary non-profit - Church","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available","Not Available"
"OH","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"AL","Acute Care Hospitals","Proprietary","3","Same as the national average","Above the national average","Same as the national average","Below the national average","Below the national average","Above the national average","Not Available"
"NE","Critical Access Hospitals","Government - Local","4","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available","Same as the national average","Not Available"
"AL","Acute Care Hospitals","Government - Hospital District or Authority","2","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"CA","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AR","Critical Access Hospitals","Proprietary","2","Not Available","Not Available","Below the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"LA","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available","Not Available"
"KY","Acute Care Hospitals","Voluntary non-profit - Church","3","Below the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"HI","Critical Access Hospitals","Government - State","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"TX","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AL","Acute Care Hospitals","Proprietary","3","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"OK","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"ID","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available","Not Available"
"AK","Critical Access Hospitals","Voluntary non-profit - Private","4","Not Available","Not Available","Same as the national average","Above the national average","Not Available","Not Available","Same as the national average"
"TX","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Above the national average","Not Available"
"IN","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Above the national average","Not Available","Not Available","Above the national average","Not Available"
"TN","Critical Access Hospitals","Physician","Not Available","Same as the national average","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"KS","Critical Access Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"AS","Acute Care Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NE","Critical Access Hospitals","Voluntary non-profit - Private","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"PR","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TX","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Above the national average","Not Available"
"GA","Acute Care Hospitals","Government - Hospital District or Authority","2","Same as the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Below the national average","Below the national average","Above the national average","Same as the national average"
"TX","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Not Available"
"OH","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"WY","Critical Access Hospitals","Government - Hospital District or Authority","4","Not Available","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"OR","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TX","Acute Care Hospitals","Government - Hospital District or Authority","3","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"MO","Acute Care Hospitals","Proprietary","3","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"ND","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"IL","Acute Care Hospitals","Voluntary non-profit - Other","3","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"VA","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"MS","Acute Care Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"FL","Acute Care Hospitals","Proprietary","2","Same as the national average","Same as the national average","Below the national average","Below the national average","Same as the national average","Not Available","Not Available"
"TX","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Same as the national average","Not Available"
"WA","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Not Available","Not Available","Not Available"
"MI","Acute Care Hospitals","Government - Hospital District or Authority","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"ME","Critical Access Hospitals","Proprietary","3","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"CA","Acute Care Hospitals","Voluntary non-profit - Private","5","Not Available","Not Available","Above the national average","Above the national average","Same as the national average","Not Available","Not Available"
"SD","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Above the national average","Not Available"
"GA","Acute Care Hospitals","Government - Hospital District or Authority","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Above the national average","Below the national average"
